iter	Passed	Remaining
0	1	129
1	2	116
2	3	108
3	4	106
4	5	101
5	6	99
6	7	96
7	8	96
8	9	97
9	10	97
10	12	99
11	13	99
12	14	97
13	15	96
14	16	95
15	17	91
16	18	90
17	19	89
18	20	88
19	22	88
20	23	87
21	24	86
22	25	86
23	26	83
24	27	82
25	28	81
26	29	80
27	30	79
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	68
37	41	67
38	41	65
39	42	64
40	43	62
41	44	61
42	45	60
43	46	58
44	47	57
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	64	31
67	65	30
68	66	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
