iter	Passed	Remaining
0	142	142357
1	143	71565
2	144	47979
3	145	36109
4	145	28978
5	146	24228
6	146	20840
7	147	18297
8	148	16316
9	148	14736
10	149	13435
11	150	12358
12	150	11448
13	151	10667
14	152	9985
15	152	9385
16	153	8857
17	153	8387
18	154	7965
19	154	7588
20	155	7257
21	156	6953
22	157	6677
23	157	6424
24	158	6185
25	159	5982
26	160	5778
27	161	5591
28	161	5412
29	162	5248
30	163	5098
31	163	4958
32	164	4822
33	165	4697
34	165	4576
35	166	4463
36	167	4355
37	168	4258
38	168	4163
39	169	4073
40	170	3988
41	171	3907
42	172	3837
43	173	3759
44	173	3684
45	174	3615
46	174	3545
47	175	3481
48	176	3421
49	176	3362
50	177	3305
51	178	3250
52	178	3197
53	179	3145
54	180	3094
55	180	3048
56	181	3002
57	182	2956
58	182	2912
59	183	2871
60	183	2829
61	184	2790
62	184	2751
63	185	2714
64	186	2677
65	186	2643
66	187	2609
67	187	2576
68	188	2543
69	189	2511
70	189	2481
71	190	2452
72	190	2424
73	191	2396
74	192	2370
75	192	2345
76	193	2321
77	194	2296
78	194	2271
79	195	2247
80	196	2224
81	196	2201
82	196	2176
83	197	2153
84	198	2132
85	198	2111
86	199	2090
87	199	2070
88	200	2051
89	201	2032
90	201	2014
91	202	1995
92	202	1978
93	203	1959
94	203	1942
95	204	1926
96	205	1909
97	205	1892
98	206	1876
99	206	1861
100	207	1845
101	207	1830
102	208	1815
103	209	1801
104	209	1786
105	210	1773
106	210	1760
107	211	1746
108	212	1733
109	212	1720
110	213	1707
111	213	1694
112	214	1681
113	214	1668
114	215	1656
115	215	1644
116	216	1632
117	216	1620
118	217	1608
119	217	1597
120	218	1586
121	218	1574
122	219	1564
123	220	1555
124	220	1545
125	221	1534
126	221	1524
127	222	1515
128	223	1505
129	223	1496
130	224	1487
131	224	1478
132	225	1469
133	226	1461
134	226	1452
135	227	1443
136	227	1434
137	228	1426
138	229	1418
139	229	1410
140	230	1402
141	230	1392
142	231	1384
143	231	1376
144	232	1368
145	232	1361
146	233	1354
147	233	1346
148	234	1339
149	234	1331
150	235	1324
151	236	1316
152	236	1310
153	237	1303
154	237	1297
155	238	1290
156	239	1283
157	239	1276
158	240	1270
159	240	1264
160	241	1256
161	241	1249
162	242	1243
163	242	1237
164	243	1230
165	243	1224
166	244	1218
167	244	1212
168	245	1206
169	245	1200
170	246	1195
171	247	1189
172	247	1184
173	248	1178
174	248	1172
175	249	1167
176	250	1163
177	250	1158
178	251	1153
179	252	1148
180	252	1143
181	253	1138
182	253	1133
183	254	1128
184	254	1123
185	255	1118
186	256	1114
187	256	1109
188	257	1104
189	258	1099
190	258	1095
191	259	1090
192	259	1085
193	260	1080
194	260	1076
195	261	1071
196	261	1067
197	262	1062
198	262	1058
199	263	1054
200	264	1049
201	264	1046
202	265	1042
203	266	1038
204	266	1034
205	267	1030
206	267	1026
207	268	1022
208	269	1018
209	269	1014
210	270	1010
211	270	1006
212	271	1002
213	271	998
214	272	994
215	272	990
216	273	986
217	274	982
218	274	979
219	275	975
220	275	971
221	276	967
222	276	964
223	277	960
224	277	957
225	278	953
226	279	950
227	279	947
228	280	943
229	280	940
230	281	937
231	282	933
232	282	930
233	283	927
234	283	923
235	284	920
236	284	917
237	285	913
238	285	910
239	286	907
240	287	903
241	287	900
242	288	897
243	288	894
244	289	891
245	289	888
246	290	885
247	291	882
248	291	880
249	292	877
250	293	874
251	293	872
252	294	869
253	294	866
254	295	863
255	296	860
256	296	857
257	297	855
258	297	852
259	298	849
260	299	846
261	299	843
262	300	841
263	300	838
264	301	835
265	301	833
266	302	830
267	303	827
268	303	824
269	304	822
270	304	819
271	305	817
272	305	814
273	306	811
274	306	809
275	307	806
276	308	803
277	308	801
278	309	798
279	309	796
280	310	794
281	310	791
282	311	788
283	311	786
284	312	783
285	313	781
286	313	778
287	314	776
288	314	774
289	315	771
290	315	769
291	316	766
292	316	764
293	317	762
294	317	759
295	318	757
296	319	755
297	319	752
298	320	750
299	320	748
300	321	746
301	321	743
302	322	741
303	322	739
304	323	737
305	323	734
306	324	732
307	325	730
308	325	727
309	326	725
310	326	723
311	327	721
312	327	719
313	328	717
314	328	715
315	329	712
316	329	710
317	330	708
318	330	706
319	331	704
320	332	702
321	332	700
322	333	698
323	333	696
324	334	694
325	335	692
326	335	690
327	336	688
328	336	686
329	337	684
330	337	683
331	338	681
332	339	679
333	339	677
334	340	676
335	341	674
336	341	672
337	342	670
338	342	668
339	343	666
340	343	664
341	344	662
342	344	660
343	345	658
344	346	656
345	346	655
346	347	653
347	347	651
348	348	650
349	349	648
350	349	647
351	350	645
352	351	643
353	351	641
354	352	640
355	353	638
356	353	637
357	354	635
358	355	634
359	355	632
360	356	630
361	356	628
362	357	627
363	357	625
364	358	623
365	359	622
366	359	620
367	360	618
368	361	617
369	361	615
370	362	614
371	363	613
372	363	611
373	364	609
374	365	608
375	365	606
376	366	605
377	366	603
378	367	601
379	367	600
380	368	598
381	368	596
382	369	595
383	370	593
384	370	592
385	371	590
386	371	588
387	372	587
388	373	585
389	373	584
390	374	582
391	374	581
392	375	579
393	375	578
394	376	576
395	377	575
396	377	573
397	378	572
398	378	570
