iter	Passed	Remaining
0	0	136
1	1	122
2	1	113
3	2	106
4	2	105
5	3	106
6	3	105
7	4	103
8	4	104
9	5	103
10	5	102
11	6	103
12	7	103
13	7	102
14	8	102
15	8	101
16	9	101
17	9	100
18	10	99
19	10	98
20	11	97
21	12	97
22	12	96
23	13	95
24	13	94
25	14	94
26	14	94
27	15	93
28	15	93
29	16	92
30	16	92
31	17	91
32	18	91
33	18	90
34	19	89
35	19	88
36	19	87
37	20	87
38	21	87
39	21	86
40	22	85
41	22	85
42	23	84
43	23	84
44	24	83
45	24	82
46	25	82
47	25	82
48	26	81
49	26	80
50	27	80
51	27	79
52	28	79
53	29	78
54	29	78
55	30	77
56	30	77
57	31	76
58	32	76
59	32	75
60	33	75
61	33	74
62	34	74
63	34	73
64	35	73
65	36	73
66	36	72
67	37	72
68	37	71
69	38	71
70	38	70
71	39	70
72	39	69
73	40	69
74	40	68
75	41	67
76	42	67
77	42	66
78	43	65
79	43	65
80	43	64
81	44	63
82	44	63
83	45	62
84	45	61
85	46	61
86	46	60
87	47	60
88	47	59
89	48	58
90	48	58
91	49	57
92	49	57
93	50	56
94	50	55
95	51	55
96	51	54
97	51	53
98	52	53
99	52	52
100	53	52
101	53	51
102	54	51
103	55	50
104	55	50
105	55	49
106	56	49
107	57	48
108	57	48
109	58	47
110	58	47
111	59	46
112	59	46
113	60	45
114	60	44
115	61	44
116	61	43
117	62	43
118	62	42
119	63	42
120	63	41
121	64	41
122	64	40
123	65	40
124	66	39
125	66	39
126	67	38
127	67	38
128	68	37
129	68	37
130	69	36
131	69	36
132	70	35
133	71	34
134	71	34
135	72	33
136	72	33
137	73	32
138	73	32
139	74	31
140	74	31
141	75	30
142	75	30
143	76	29
144	76	29
145	77	28
146	77	28
147	78	27
148	78	27
149	79	26
150	79	25
151	80	25
152	80	24
153	81	24
154	81	23
155	82	23
156	82	22
157	83	22
158	83	21
159	84	21
160	85	20
161	85	20
162	86	19
163	86	19
164	87	18
165	87	18
166	88	17
167	89	16
168	89	16
169	90	15
170	91	15
171	91	14
172	92	14
173	92	13
174	93	13
175	94	12
176	94	12
177	95	11
178	95	11
179	96	10
180	96	10
181	97	9
182	98	9
183	98	8
184	99	8
185	99	7
186	100	6
187	100	6
188	101	5
189	102	5
190	102	4
191	103	4
192	103	3
193	104	3
194	104	2
195	105	2
196	106	1
197	106	1
198	107	0
199	107	0
