iter	Passed	Remaining
0	0	632
1	1	634
2	1	652
3	2	650
4	3	631
5	3	621
6	4	644
7	5	643
8	5	645
9	6	663
10	7	671
11	8	663
12	8	658
13	9	660
14	10	663
15	10	663
16	11	663
17	12	666
18	12	666
19	13	668
20	14	670
21	15	670
22	15	675
23	16	676
24	17	676
25	17	673
26	18	684
27	19	682
28	20	681
29	20	674
30	21	673
31	22	676
32	23	676
33	23	673
34	24	672
35	24	668
36	25	665
37	26	664
38	26	662
39	27	660
40	28	658
41	28	655
42	29	652
43	29	649
44	30	647
45	31	648
46	32	649
47	32	647
48	33	646
49	34	646
50	34	643
51	35	644
52	35	642
53	36	640
54	37	639
55	37	637
56	38	635
57	39	634
58	39	631
59	40	629
60	41	631
61	42	635
62	42	635
63	43	633
64	43	631
65	44	629
66	45	628
67	45	630
68	46	628
69	47	626
70	47	625
71	48	621
72	48	619
73	49	618
74	49	616
75	50	614
76	51	613
77	51	611
78	52	609
79	52	608
80	53	606
81	54	605
82	54	603
83	55	603
84	55	602
85	56	601
86	57	599
87	57	598
88	58	596
89	58	595
90	59	593
91	60	593
92	60	594
93	61	593
94	62	591
95	62	590
96	63	589
97	63	588
98	64	586
99	65	585
100	65	585
101	66	584
102	66	582
103	67	582
104	68	582
105	68	580
106	69	579
107	70	578
108	70	578
109	71	577
110	71	575
111	72	573
112	72	572
113	73	571
114	74	570
115	74	569
116	75	569
117	76	568
118	76	568
119	77	568
120	78	567
121	78	567
122	79	566
123	80	565
124	80	565
125	81	563
126	81	561
127	82	560
128	82	557
129	83	556
130	83	555
131	84	552
132	84	552
133	85	552
134	86	552
135	87	552
136	87	551
137	88	551
138	88	550
139	89	549
140	90	548
141	90	547
142	91	547
143	91	546
144	92	545
145	93	545
146	93	544
147	94	542
148	94	541
149	95	540
150	96	539
151	96	539
152	97	538
153	97	537
154	98	535
155	99	535
156	99	535
157	100	535
158	100	534
159	101	533
160	102	532
161	102	531
162	103	529
163	103	528
164	104	527
165	104	527
166	105	526
167	106	526
168	106	525
169	107	525
170	108	524
171	108	524
172	109	523
173	110	523
174	111	523
175	111	524
176	112	524
177	113	523
178	114	523
179	114	523
180	115	522
181	116	521
182	116	521
183	117	520
184	118	519
185	118	519
186	119	519
187	119	518
188	120	517
189	121	516
190	121	516
191	122	514
192	122	513
193	123	512
194	123	511
195	124	510
196	125	509
197	125	508
198	126	507
199	126	506
200	127	505
201	127	504
202	128	504
203	129	503
204	129	502
205	130	502
206	130	501
207	131	500
208	132	500
209	132	499
210	133	498
211	133	497
212	134	497
213	135	496
214	135	496
215	136	495
216	137	494
217	137	493
218	138	492
219	139	492
220	139	492
221	140	491
222	140	490
223	141	489
224	142	489
225	142	488
226	143	487
227	143	487
228	144	486
229	145	486
230	145	485
231	146	484
232	146	483
233	147	482
234	148	482
235	148	481
236	149	481
237	150	480
238	150	479
239	151	479
240	152	479
241	152	478
242	153	478
243	154	477
244	154	477
245	155	477
246	156	476
247	157	476
248	157	475
249	158	474
250	158	474
251	159	473
252	160	473
253	160	472
254	161	471
255	161	470
256	162	469
257	163	469
258	163	468
259	164	468
260	165	467
261	165	467
262	166	466
263	167	465
264	167	465
265	168	464
266	168	463
267	169	462
268	169	461
269	170	461
270	171	460
271	171	459
272	172	459
273	172	458
274	173	457
275	174	456
276	174	455
277	175	455
278	175	454
279	176	453
280	177	453
281	177	452
282	178	451
283	179	451
284	179	450
285	180	450
286	181	449
287	181	449
288	182	448
289	183	448
290	183	447
291	184	446
292	184	446
293	185	445
294	186	444
295	186	444
296	187	443
297	187	442
298	188	442
299	189	441
300	189	440
301	190	439
302	190	439
303	191	438
304	192	437
305	192	436
306	193	436
307	194	437
308	195	436
309	195	436
310	196	435
311	197	435
312	197	434
313	198	433
314	199	433
315	199	432
316	200	431
317	201	431
318	201	430
319	202	430
320	203	429
321	203	428
322	204	427
323	204	427
324	205	426
325	205	425
326	206	425
327	207	424
328	207	424
329	208	423
330	209	422
331	209	422
332	210	421
333	211	421
334	211	420
335	212	419
336	212	418
337	213	417
338	213	417
339	214	416
340	215	415
341	215	415
342	216	414
343	217	413
344	217	413
345	218	412
346	218	411
347	219	411
348	220	410
349	220	410
350	221	409
351	222	409
352	222	408
353	223	407
354	224	407
355	224	406
356	225	405
357	225	405
358	226	404
359	227	404
360	228	403
361	228	403
362	229	402
363	230	401
364	230	401
365	231	400
366	232	400
367	232	399
368	233	398
369	233	398
370	234	397
371	235	397
372	235	396
373	236	395
374	237	395
375	237	394
376	238	393
377	238	392
378	239	392
379	240	391
380	240	391
381	241	390
382	241	389
383	242	389
384	243	388
385	243	387
386	244	387
387	245	386
388	245	385
389	246	385
390	246	384
391	247	383
392	248	383
393	248	382
394	249	381
395	249	381
396	250	380
397	251	379
398	251	379
399	252	378
400	252	377
401	253	376
402	253	376
403	254	375
404	255	374
405	255	373
406	256	373
407	256	372
408	257	371
409	257	370
410	258	370
411	258	369
412	259	368
413	260	368
414	260	367
415	261	366
416	261	366
417	262	365
418	263	364
419	263	364
420	264	363
421	264	362
422	265	361
423	265	361
424	266	360
425	267	359
426	267	359
427	268	358
428	268	357
429	269	357
430	270	356
431	270	355
432	271	354
433	271	354
434	272	353
435	272	352
436	273	352
437	274	351
438	274	351
439	275	350
440	276	350
441	276	349
442	277	348
443	278	348
444	278	347
445	279	347
446	280	346
447	280	346
448	281	345
449	282	344
450	282	344
451	283	343
452	284	342
453	284	342
454	285	341
455	286	341
456	286	340
457	287	339
458	287	339
459	288	338
460	288	337
461	289	337
462	290	336
463	290	336
464	291	335
465	292	334
466	292	334
467	293	333
468	293	332
469	294	332
470	295	331
471	295	330
472	296	330
473	297	329
474	297	329
475	298	328
476	299	327
477	299	327
478	300	326
479	300	325
480	301	325
481	302	324
482	303	324
483	304	324
484	304	323
485	305	323
486	306	322
487	306	321
488	307	321
489	307	320
490	308	319
491	309	319
492	309	318
493	310	317
494	310	317
495	311	316
496	312	315
497	312	315
498	313	314
499	313	313
500	314	313
501	315	312
502	315	311
503	316	311
504	316	310
505	317	309
506	317	309
507	318	308
508	319	307
509	319	307
510	320	306
511	320	305
512	321	305
513	322	304
514	322	303
515	322	302
516	323	302
517	324	301
518	324	301
519	325	300
520	326	299
521	326	299
522	327	298
523	327	297
524	328	297
525	328	296
526	329	295
527	330	295
528	330	294
529	331	294
530	332	293
531	332	292
532	333	292
533	333	291
534	334	290
535	335	290
536	335	289
537	336	288
538	337	288
539	337	287
540	338	286
541	338	286
542	339	285
543	339	284
544	340	284
545	341	283
546	342	283
547	342	282
548	343	281
549	344	281
550	344	280
551	345	280
552	345	279
553	346	278
554	346	278
555	347	277
556	348	276
557	348	276
558	349	275
559	349	274
560	350	274
561	351	273
562	351	273
563	352	272
564	352	271
565	353	270
566	354	270
567	354	269
568	355	269
569	355	268
570	356	267
571	357	267
572	357	266
573	358	265
574	358	265
575	359	264
576	359	263
577	360	263
578	361	262
579	361	261
580	362	261
581	363	260
582	363	260
583	364	259
584	364	258
585	365	258
586	366	257
587	366	256
588	367	256
589	367	255
590	368	254
591	368	254
592	369	253
593	369	252
