iter	Passed	Remaining
0	0	129
1	1	120
2	1	113
3	2	112
4	2	110
5	3	106
6	3	104
7	4	104
8	4	105
9	5	105
10	6	104
11	6	105
12	7	105
13	8	106
14	8	106
15	9	107
16	9	106
17	10	105
18	10	104
19	11	103
20	12	102
21	12	102
22	13	101
23	13	100
24	14	99
25	14	99
26	15	98
27	15	97
28	16	97
29	17	97
30	17	96
31	18	96
32	19	96
33	19	95
34	20	94
35	20	94
36	21	93
37	21	92
38	22	92
39	23	92
40	23	91
41	24	90
42	24	90
43	25	89
44	25	89
45	26	89
46	27	88
47	27	87
48	28	87
49	28	86
50	29	85
51	29	85
52	30	84
53	31	83
54	31	83
55	32	82
56	32	82
57	33	81
58	33	80
59	34	80
60	35	79
61	35	79
62	36	79
63	37	79
64	38	78
65	38	78
66	39	77
67	39	77
68	40	76
69	40	75
70	41	75
71	41	74
72	42	73
73	43	73
74	43	72
75	44	72
76	44	71
77	45	71
78	46	70
79	46	70
80	47	69
81	47	68
82	48	67
83	48	67
84	49	66
85	49	65
86	50	65
87	50	64
88	51	64
89	51	63
90	52	62
91	53	62
92	53	62
93	54	61
94	55	60
95	55	60
96	56	59
97	56	58
98	57	58
99	57	57
100	58	56
101	58	56
102	59	55
103	59	55
104	60	54
105	60	53
106	61	53
107	61	52
108	62	52
109	63	51
110	63	51
111	64	50
112	64	49
113	65	49
114	66	48
115	66	48
116	67	47
117	67	47
118	68	46
119	69	46
120	69	45
121	70	44
122	71	44
123	71	43
124	72	43
125	72	42
126	73	42
127	73	41
128	74	40
129	74	40
130	75	39
131	75	39
132	76	38
133	76	37
134	77	37
135	78	36
136	78	36
137	79	35
138	79	35
139	80	34
140	80	33
141	81	33
142	82	32
143	82	32
144	83	31
145	83	30
146	84	30
147	84	29
148	84	29
149	85	28
150	85	27
151	86	27
152	86	26
153	87	26
154	87	25
155	88	24
156	88	24
157	89	23
158	89	23
159	90	22
160	90	21
161	91	21
162	91	20
163	92	20
164	92	19
165	93	19
166	93	18
167	94	17
168	94	17
169	95	16
170	95	16
171	96	15
172	98	15
173	98	14
174	104	14
175	104	14
176	105	13
177	105	13
178	106	12
179	107	11
180	107	11
181	108	10
182	108	10
183	109	9
184	109	8
185	110	8
186	110	7
187	111	7
188	112	6
189	112	5
190	113	5
191	113	4
192	114	4
193	114	3
194	115	2
195	116	2
196	116	1
197	117	1
198	117	0
199	118	0
